iter	Passed	Remaining
0	51	51122
1	150	75346
2	271	90316
3	348	86812
4	405	80749
5	462	76663
6	522	74116
7	579	71832
8	636	70051
9	691	68437
10	750	67519
11	801	66026
12	853	64819
13	908	63959
14	956	62836
15	1009	62082
16	1061	61362
17	1113	60736
18	1164	60119
19	1268	62150
20	1333	62183
21	1384	61567
22	1446	61431
23	1505	61213
24	1556	60686
25	1610	60323
26	1667	60088
27	1830	63559
28	1973	66090
29	2139	69174
30	2330	72860
31	2480	75044
32	2627	77006
33	2768	78668
34	2849	78552
35	2953	79076
36	3034	78986
37	3197	80946
38	3395	83660
39	3522	84534
40	3677	86024
41	3839	87585
42	4022	89526
43	4209	91464
44	4409	93582
45	4514	93634
46	4621	93712
47	4735	93929
48	4878	94684
49	4971	94465
50	5070	94342
51	5202	94847
52	5318	95026
53	5443	95355
54	5536	95121
55	5639	95072
56	5735	94885
57	5831	94717
58	5902	94139
59	6005	94090
60	6101	93915
61	6222	94145
62	6343	94340
63	6457	94436
64	6553	94273
65	6646	94060
66	6761	94157
67	6870	94170
68	6966	94002
69	7048	93639
70	7133	93339
71	7260	93582
72	7378	93698
73	7484	93662
74	7583	93530
75	7674	93309
76	7780	93263
77	7898	93360
78	7984	93081
79	8106	93227
80	8218	93242
81	8308	93018
82	8419	93020
83	8548	93218
84	8642	93033
85	8737	92857
86	8837	92744
87	8975	93013
88	9096	93108
89	9247	93504
90	9335	93250
91	9455	93321
92	9561	93249
93	9670	93207
94	9770	93073
95	9867	92920
96	9969	92808
97	10038	92391
98	10110	92012
99	10169	91525
100	10230	91064
101	10282	90523
102	10334	89996
103	10382	89447
104	10438	88978
105	10493	88500
106	10541	87980
107	10598	87531
108	10658	87128
109	10699	86568
110	10755	86138
111	10804	85664
112	10852	85185
113	10910	84792
114	10957	84323
115	11003	83857
116	11056	83445
117	11113	83069
118	11168	82687
119	11222	82299
120	11270	81874
121	11315	81436
122	11364	81028
123	11411	80614
124	11463	80247
125	11510	79841
126	11558	79453
127	11600	79026
128	11650	78665
129	11691	78243
130	11736	77855
131	11782	77480
132	11825	77088
133	11872	76730
134	11923	76399
135	11971	76055
136	12017	75699
137	12059	75329
138	12113	75031
139	12159	74692
140	12210	74388
141	12255	74049
142	12308	73765
143	12357	73461
144	12409	73173
145	12461	72893
146	12502	72546
147	12562	72318
148	12610	72024
149	12654	71707
150	12701	71414
151	12757	71173
152	12810	70917
153	12864	70669
154	12914	70404
155	12965	70147
156	13019	69908
157	13066	69632
158	13115	69371
159	13160	69090
160	13211	68849
161	13257	68579
162	13308	68338
163	13363	68121
164	13411	67872
165	13453	67593
166	13495	67314
167	13548	67095
168	13590	66827
169	13640	66600
170	13699	66412
171	13748	66182
172	13798	65959
173	13849	65745
174	13897	65514
175	13947	65301
176	13997	65084
177	14046	64865
178	14094	64646
179	14150	64465
180	14198	64244
181	14241	64006
182	14290	63799
183	14343	63608
184	14391	63401
185	14435	63176
186	14484	62974
187	14528	62749
188	14569	62517
189	14613	62299
190	14665	62117
191	14719	61945
192	14764	61737
193	14810	61533
194	14860	61348
195	14917	61193
196	14964	60998
197	15018	60832
198	15063	60630
199	15117	60470
200	15176	60327
201	15227	60154
202	15281	59996
203	15336	59842
204	15386	59669
205	15441	59515
206	15501	59386
207	15546	59195
208	15590	59004
209	15636	58823
210	15683	58644
211	15730	58469
212	15785	58323
213	15830	58142
214	15887	58009
215	15942	57866
216	15998	57726
217	16060	57612
218	16112	57459
219	16168	57324
220	16216	57162
221	16268	57011
222	16317	56855
223	16363	56688
224	16408	56517
225	16453	56350
226	16499	56184
227	16548	56032
228	16597	55881
229	16671	55813
230	16811	55966
231	16942	56085
232	17084	56240
233	17220	56372
234	17328	56408
235	17458	56517
236	17553	56511
237	17641	56481
238	17744	56501
239	17859	56556
240	17957	56555
241	18136	56808
242	18349	57161
243	18480	57258
244	18658	57498
245	18856	57797
246	19073	58148
247	19237	58333
248	19400	58511
249	19565	58697
250	19675	58713
251	19786	58732
252	19883	58707
253	20088	58999
254	20224	59087
255	20320	59055
256	20414	59018
257	20565	59145
258	20712	59259
259	20808	59225
260	20910	59205
261	21029	59236
262	21147	59261
263	21273	59307
264	21356	59234
265	21447	59182
266	21579	59241
267	21690	59245
268	21792	59221
269	21859	59102
270	21939	59017
271	22048	59011
272	22165	59026
273	22278	59029
274	22368	58971
275	22461	58920
276	22567	58903
277	22677	58896
278	22786	58885
279	22891	58863
280	23030	58927
281	23189	59041
282	23308	59053
283	23399	58992
284	23513	58988
285	23629	58991
286	23730	58953
287	23854	58973
288	23957	58940
289	24078	58949
290	24192	58943
291	24312	58948
292	24412	58907
293	24505	58846
294	24603	58798
295	24703	58754
296	24859	58842
297	24998	58889
298	25124	58903
299	25195	58789
300	25244	58624
301	25296	58465
302	25347	58308
303	25397	58146
304	25439	57969
305	25489	57808
306	25542	57657
307	25592	57500
308	25645	57348
309	25687	57175
310	25727	56998
311	25778	56845
312	25826	56685
313	25870	56519
314	25921	56368
315	25982	56241
316	26035	56095
317	26088	55951
318	26149	55822
319	26192	55658
320	26242	55509
321	26294	55365
322	26348	55226
323	26396	55074
324	26446	54927
325	26493	54774
326	26537	54616
327	26578	54452
328	26626	54304
329	26672	54152
330	26719	54004
331	26764	53852
332	26812	53704
333	26861	53561
334	26909	53416
335	26961	53281
336	27023	53165
337	27071	53021
338	27121	52882
339	27171	52744
340	27223	52611
341	27279	52484
342	27336	52361
343	27382	52217
344	27434	52085
345	27495	51971
346	27547	51839
347	27602	51715
348	27652	51580
349	27704	51451
350	27754	51317
351	27812	51199
352	27856	51056
353	27904	50921
354	27953	50788
355	28003	50658
356	28051	50524
357	28099	50390
358	28145	50254
359	28188	50113
360	28235	49979
361	28296	49869
362	28351	49751
363	28413	49645
364	28473	49536
365	28524	49410
366	28577	49290
367	28625	49160
368	28687	49056
369	28731	48921
370	28780	48794
371	28827	48665
372	28875	48538
373	28919	48405
374	28971	48285
375	29018	48158
376	29076	48048
377	29123	47922
378	29167	47791
379	29215	47667
380	29263	47543
381	29315	47426
382	29376	47324
383	29429	47209
384	29480	47092
385	29530	46973
386	29574	46845
387	29616	46714
388	29665	46595
389	29714	46475
390	29773	46372
391	29828	46264
392	29881	46153
393	29929	46033
394	29990	45934
395	30034	45810
396	30088	45701
397	30137	45585
398	30181	45461
399	30226	45339
400	30291	45248
401	30351	45150
402	30409	45047
403	30464	44942
404	30521	44840
405	30575	44733
406	30617	44609
407	30665	44494
408	30709	44375
409	30756	44259
410	30802	44143
411	30852	44032
412	30901	43920
413	30961	43824
414	31014	43719
415	31071	43619
416	31126	43517
417	31170	43400
418	31214	43283
419	31266	43177
420	31315	43067
421	31375	42974
422	31422	42861
423	31469	42750
424	31522	42648
425	31567	42534
426	31608	42416
427	31653	42303
428	31717	42216
429	31865	42239
430	32025	42280
431	32186	42319
432	32392	42416
433	32619	42540
434	32781	42578
435	32874	42525
436	32986	42497
